municipio,nombre,grupo
San Bartolome De Tirajana,Tara,Bar-Cafeteria
Las Palmas De Gran Canaria,Camarote Hnos. Brito,Bar-Cafeteria
La Aldea De San Nicolas,Star,Bar-Cafeteria
Santa Lucia De Tirajana,"Miga Amiga, La",Bar-Cafeteria
Las Palmas De Gran Canaria,"Naval Toledana, La",Bar-Cafeteria
San Bartolome De Tirajana,Claveles Park,Bar-Cafeteria
San Bartolome De Tirajana,Bar Green Ocean,Bar-Cafeteria
Aguimes,Cafeteria Cayo,Bar-Cafeteria
Mogan,Sixty Nine 1,Bar-Cafeteria
Las Palmas De Gran Canaria,Al Temtempie,Bar-Cafeteria
Las Palmas De Gran Canaria,Estribor,Bar-Cafeteria
Santa Lucia De Tirajana,Nuemer Cibercafe,Bar-Cafeteria
San Bartolome De Tirajana,Paraiso Maspalomas,Bar-Cafeteria
Mogan,Tapas Tapas,Bar-Cafeteria
Santa Lucia De Tirajana,Oklahoma,Bar-Cafeteria
San Bartolome De Tirajana,La Petanca,Bar-Cafeteria
San Bartolome De Tirajana,Apilaniitty O'Neills,Bar-Cafeteria
San Bartolome De Tirajana,Aurashisha,Bar-Cafeteria
Las Palmas De Gran Canaria,Coffe Burguer,Bar-Cafeteria
Santa Lucia De Tirajana,Rios Doctoral,Bar-Cafeteria
Mogan,Canario De Oro,Bar-Cafeteria
Arucas,Cafe Bodega La Dolorosa,Bar-Cafeteria
Agaete,Cucuruchu,Bar-Cafeteria
Mogan,The Grand Cafe,Bar-Cafeteria
Las Palmas De Gran Canaria,Nuevo Villa De Madrid,Bar-Cafeteria
Las Palmas De Gran Canaria,Ca'Benitez Iii,Bar-Cafeteria
Mogan,Tobago,Bar-Cafeteria
Mogan,Tobago,Bar-Cafeteria
San Bartolome De Tirajana,Fiction,Bar-Cafeteria
Mogan,Snack Cocktail Bar Monte Paraiso,Bar-Cafeteria
Las Palmas De Gran Canaria,Piscolabis Siglo Xxi,Bar-Cafeteria
Las Palmas De Gran Canaria,Mona Parrilla,Bar-Cafeteria
Las Palmas De Gran Canaria,Asociacion Vecinos Rayco Lomo Los Frailes,Bar-Cafeteria
Aguimes,K' Mi Noa,Bar-Cafeteria
Telde,Don Bocata,Bar-Cafeteria
Santa Lucia De Tirajana,"Pintadera I, La",Bar-Cafeteria
Aguimes,Atlantico,Bar-Cafeteria
Las Palmas De Gran Canaria,Ultramarinos Machete,Bar-Cafeteria
Santa Lucia De Tirajana,Italokos,Bar-Cafeteria
Telde,Moreno,Bar-Cafeteria
Mogan,Palm Bar,Bar-Cafeteria
San Bartolome De Tirajana,Vicksol,Bar-Cafeteria
Las Palmas De Gran Canaria,Limbo Bar,Bar-Cafeteria
San Bartolome De Tirajana,"Algas, Las",Bar-Cafeteria
San Bartolome De Tirajana,"Guarida, La",Bar-Cafeteria
Ingenio,Sabrosito,Bar-Cafeteria
Santa Lucia De Tirajana,Leole,Bar-Cafeteria
Aguimes,Ca'Pepe,Bar-Cafeteria
Mogan,Chill Out Bar,Bar-Cafeteria
La Aldea De San Nicolas,La Granja,Bar-Cafeteria
Las Palmas De Gran Canaria,Encuentro,Bar-Cafeteria
Tejeda,Sombra Del Nublo,Bar-Cafeteria
Aguimes,Café De Arinaga,Bar-Cafeteria
Las Palmas De Gran Canaria,Terraza Ñoño El Chico,Bar-Cafeteria
San Bartolome De Tirajana,Iskelma Baari Gran Canaria,Bar-Cafeteria
San Bartolome De Tirajana,Tapas San Fermin,Bar-Cafeteria
San Bartolome De Tirajana,La Tasquita De Canarias,Bar-Cafeteria
Las Palmas De Gran Canaria,Los 5 Sentidos,Bar-Cafeteria
San Bartolome De Tirajana,Diviniti,Bar-Cafeteria
San Bartolome De Tirajana,Tiger'S Bar Piscina,Bar-Cafeteria
Santa Lucia De Tirajana,Alegria Del Pueblo,Bar-Cafeteria
Las Palmas De Gran Canaria,Veracruz,Bar-Cafeteria
San Bartolome De Tirajana,Numero 68,Bar-Cafeteria
Las Palmas De Gran Canaria,Gladera'S Kebab House,Bar-Cafeteria
San Bartolome De Tirajana,Stardust,Bar-Cafeteria
Mogan,Mc Cools,Bar-Cafeteria
San Bartolome De Tirajana,Time Of By Romeo Y Julio,Bar-Cafeteria
Las Palmas De Gran Canaria,Siete Puertas,Bar-Cafeteria
San Bartolome De Tirajana,The Box,Bar-Cafeteria
Las Palmas De Gran Canaria,Que Rico San Cristóbal,Bar-Cafeteria
Santa Maria De Guia De Gran Canaria,Piscolabis Aqui Nos Vemos,Bar-Cafeteria
Santa Lucia De Tirajana,Gastrobar Iris,Bar-Cafeteria
Las Palmas De Gran Canaria,Gelizia,Bar-Cafeteria
Telde,"Pata Caliente, La",Bar-Cafeteria
Telde,Hermanos Lantigua E Hijos,Bar-Cafeteria
Las Palmas De Gran Canaria,Cafe Central,Bar-Cafeteria
Las Palmas De Gran Canaria,Tiramisu,Bar-Cafeteria
San Bartolome De Tirajana,"Grand, Italia",Bar-Cafeteria
Las Palmas De Gran Canaria,Urban Las Palmas,Bar-Cafeteria
Arucas,"Huequito De Nino, El",Bar-Cafeteria
San Bartolome De Tirajana,Piscina Koka,Bar-Cafeteria
San Bartolome De Tirajana,Müller'S,Bar-Cafeteria
San Bartolome De Tirajana,Cafetin Comebien,Bar-Cafeteria
Las Palmas De Gran Canaria,Buenos Aires Jazz Café,Bar-Cafeteria
San Bartolome De Tirajana,Manila,Bar-Cafeteria
Santa Lucia De Tirajana,Cine Yelmo Vecindario,Bar-Cafeteria
San Bartolome De Tirajana,Die Kneipe (La Taberna),Bar-Cafeteria
Aguimes,Remember,Bar-Cafeteria
Las Palmas De Gran Canaria,Ca' Cristo,Bar-Cafeteria
Telde,"Dorado, El",Bar-Cafeteria
San Bartolome De Tirajana,Cafe Sonnenland,Bar-Cafeteria
Las Palmas De Gran Canaria,Hermanos Lantigua E Hijos,Bar-Cafeteria
San Bartolome De Tirajana,Central Perk,Bar-Cafeteria
Las Palmas De Gran Canaria,Kraken,Bar-Cafeteria
Las Palmas De Gran Canaria,Medina,Bar-Cafeteria
Las Palmas De Gran Canaria,City Bar,Bar-Cafeteria
San Bartolome De Tirajana,Come Back,Bar-Cafeteria
San Bartolome De Tirajana,Cafeteria La Entrada,Bar-Cafeteria
Las Palmas De Gran Canaria,Camino Al Jamonal,Bar-Cafeteria
Aguimes,Aloha,Bar-Cafeteria
San Bartolome De Tirajana,Before,Bar-Cafeteria
Las Palmas De Gran Canaria,Irish Corner,Bar-Cafeteria
San Bartolome De Tirajana,Luxury,Bar-Cafeteria
Las Palmas De Gran Canaria,Multiruedas,Bar-Cafeteria
Las Palmas De Gran Canaria,Cerveceria La Gamba,Bar-Cafeteria
Santa Lucia De Tirajana,Casa Pablito,Bar-Cafeteria
Las Palmas De Gran Canaria,La Cafetería Del Parque By D´Vainilla,Bar-Cafeteria
Telde,Angelito,Bar-Cafeteria
San Bartolome De Tirajana,Reds Bar,Bar-Cafeteria
Mogan,Buster Bar,Bar-Cafeteria
San Bartolome De Tirajana,Heineken Cafe,Bar-Cafeteria
San Bartolome De Tirajana,Maxi Pub,Bar-Cafeteria
San Bartolome De Tirajana,Mojocilantro,Bar-Cafeteria
San Bartolome De Tirajana,San Valentin Park,Bar-Cafeteria
Ingenio,"Capellania, La",Bar-Cafeteria
Telde,Bar Foca,Bar-Cafeteria
San Bartolome De Tirajana,Al Manara,Bar-Cafeteria
Las Palmas De Gran Canaria,"Pinchitos, Los",Bar-Cafeteria
Ingenio,Casa Andres,Bar-Cafeteria
Las Palmas De Gran Canaria,Coffee & Food,Bar-Cafeteria
San Bartolome De Tirajana,Häagen Dazs Cafe,Bar-Cafeteria
Las Palmas De Gran Canaria,Punto 27,Bar-Cafeteria
Ingenio,Pizzeria Cocos,Bar-Cafeteria
San Bartolome De Tirajana,Junior,Bar-Cafeteria
San Bartolome De Tirajana,Terraza Sol,Bar-Cafeteria
Santa Lucia De Tirajana,Dámaris,Bar-Cafeteria
Santa Lucia De Tirajana,Don Carlos,Bar-Cafeteria
Firgas,El Rincón De Marcos,Bar-Cafeteria
San Bartolome De Tirajana,San Valentin & Terraflor Park,Bar-Cafeteria
Mogan,Taberna El Pinillo,Bar-Cafeteria
Las Palmas De Gran Canaria,Zhang Lala Ramen Lanzhou,Bar-Cafeteria
Las Palmas De Gran Canaria,Casa Larry,Bar-Cafeteria
Telde,Tambara Bocata,Bar-Cafeteria
San Bartolome De Tirajana,Habitat,Bar-Cafeteria
Telde,Enrique Tomás,Bar-Cafeteria
Telde,The Garden,Bar-Cafeteria
Santa Lucia De Tirajana,La Flaca,Bar-Cafeteria
Las Palmas De Gran Canaria,La Española,Bar-Cafeteria
San Bartolome De Tirajana,Chiringo Ca' Manuel,Bar-Cafeteria
Santa Lucia De Tirajana,2 X 1 Burguer,Bar-Cafeteria
Las Palmas De Gran Canaria,Peque Chiringo,Bar-Cafeteria
San Bartolome De Tirajana,Cafe Zipf,Bar-Cafeteria
Las Palmas De Gran Canaria,See U,Bar-Cafeteria
Firgas,"Kiosco, El",Bar-Cafeteria
San Bartolome De Tirajana,Stop In Brasil,Bar-Cafeteria
Santa Lucia De Tirajana, L'Antigua,Bar-Cafeteria
Las Palmas De Gran Canaria,Aa.Vv.,Bar-Cafeteria
Santa Lucia De Tirajana,Hatuey,Bar-Cafeteria
San Bartolome De Tirajana,Le Figaro,Bar-Cafeteria
San Bartolome De Tirajana,Le Belge Bar,Bar-Cafeteria
Las Palmas De Gran Canaria,Silva 42,Bar-Cafeteria
Telde,Kairos,Bar-Cafeteria
Las Palmas De Gran Canaria,Feten,Bar-Cafeteria
Las Palmas De Gran Canaria,Las Cumbres Da Zio Ciccio,Bar-Cafeteria
Telde,Cafe D7,Bar-Cafeteria
Las Palmas De Gran Canaria,Piscolabis Melitón,Bar-Cafeteria
San Bartolome De Tirajana,Pub Boomerang,Bar-Cafeteria
Santa Lucia De Tirajana,Panaria Atlantico,Bar-Cafeteria
Las Palmas De Gran Canaria,Enoteca El Zarcillo,Bar-Cafeteria
Aguimes,La Tarteria De Aguimes,Bar-Cafeteria
Las Palmas De Gran Canaria,San Remo,Bar-Cafeteria
San Bartolome De Tirajana,Terry Show,Bar-Cafeteria
Las Palmas De Gran Canaria,Pub Karaoke La Camara,Bar-Cafeteria
San Bartolome De Tirajana,Cafe De Paris,Bar-Cafeteria
Santa Lucia De Tirajana,"Era, La",Bar-Cafeteria
Ingenio,"Palmeral, El",Bar-Cafeteria
San Bartolome De Tirajana,Heineken Eet Cafe,Bar-Cafeteria
Telde,Manhattan,Bar-Cafeteria
Las Palmas De Gran Canaria,Las Tejas,Bar-Cafeteria
Aguimes,Pizzería La Abuela Canaria,Bar-Cafeteria
Las Palmas De Gran Canaria,Hamburgueseria Popeye,Bar-Cafeteria
Las Palmas De Gran Canaria,Doner Kebap Las Palmas,Bar-Cafeteria
San Bartolome De Tirajana,Pasion Tropical,Bar-Cafeteria
Las Palmas De Gran Canaria,Movie,Bar-Cafeteria
Las Palmas De Gran Canaria,Hnos. Granado Ii,Bar-Cafeteria
Arucas,5mentarios,Bar-Cafeteria
Ingenio,"Fuente, La",Bar-Cafeteria
San Bartolome De Tirajana,"Chiringuito, El",Bar-Cafeteria
San Bartolome De Tirajana,Mundo Aborigen,Bar-Cafeteria
Mogan,Ferrari,Bar-Cafeteria
Las Palmas De Gran Canaria,La Nueva Arrancadilla,Bar-Cafeteria
Las Palmas De Gran Canaria,Piscolabis Mi Casa,Bar-Cafeteria
Mogan,Timo'S Bar,Bar-Cafeteria
Las Palmas De Gran Canaria,"Maria, La",Bar-Cafeteria
San Bartolome De Tirajana,Cabo Mayor,Bar-Cafeteria
Las Palmas De Gran Canaria,"Familia, La",Bar-Cafeteria
San Bartolome De Tirajana,Maximilian'S,Bar-Cafeteria
Telde,Casa Luis,Bar-Cafeteria
San Bartolome De Tirajana,Europa,Bar-Cafeteria
San Bartolome De Tirajana,Mr. Kale Maspalomas,Bar-Cafeteria
Mogan,Bombom Coffee,Bar-Cafeteria
Arucas,Siroco,Bar-Cafeteria
Mogan,Barguineguin,Bar-Cafeteria
Las Palmas De Gran Canaria,"Migas, Las",Bar-Cafeteria
Aguimes,Casa Paco,Bar-Cafeteria
Las Palmas De Gran Canaria,Museo Km 69,Bar-Cafeteria
Mogan,Sphinx Bar &Amp; Grill,Bar-Cafeteria
Las Palmas De Gran Canaria,Pizzeria Perez Galdos,Bar-Cafeteria
Arucas,Piscolabis Kawamba,Bar-Cafeteria
Las Palmas De Gran Canaria,Momento Café,Bar-Cafeteria
Las Palmas De Gran Canaria,Burger King,Bar-Cafeteria
Las Palmas De Gran Canaria,Casa Leo,Bar-Cafeteria
Las Palmas De Gran Canaria,Churrería La Esmeralda,Bar-Cafeteria
Santa Lucia De Tirajana,El Enyesque De Abuela Lita,Bar-Cafeteria
Telde,Dulceria Elena,Bar-Cafeteria
Las Palmas De Gran Canaria,Megapark,Bar-Cafeteria
Las Palmas De Gran Canaria,Dora Dora In Coffee We Trust,Bar-Cafeteria
Artenara,"Estacion, La",Bar-Cafeteria
Telde,Drago Sala De Fiestas,Bar-Cafeteria
San Bartolome De Tirajana,Mantrix,Bar-Cafeteria
Las Palmas De Gran Canaria,Tasca Alma,Bar-Cafeteria
San Bartolome De Tirajana,Tiradores (Shooters),Bar-Cafeteria
Santa Lucia De Tirajana,Mc Morrigan'S,Bar-Cafeteria
Las Palmas De Gran Canaria,La Pintadera,Bar-Cafeteria
Santa Lucia De Tirajana,"Parque, El - Pa' Come",Bar-Cafeteria
Santa Lucia De Tirajana,La Mina,Bar-Cafeteria
San Bartolome De Tirajana,Copacabana Bar,Bar-Cafeteria
Mogan,Northern Lights,Bar-Cafeteria
San Bartolome De Tirajana,Casa Perdomo,Bar-Cafeteria
San Bartolome De Tirajana,Cheyennes,Bar-Cafeteria
Las Palmas De Gran Canaria,Cepsa,Bar-Cafeteria
Las Palmas De Gran Canaria,Doner Kebap Istanbul,Bar-Cafeteria
Las Palmas De Gran Canaria,Cafeteria Tamaragua,Bar-Cafeteria
Las Palmas De Gran Canaria,Terraza Elder,Bar-Cafeteria
San Bartolome De Tirajana,"Merlin""S Bistro",Bar-Cafeteria
San Bartolome De Tirajana,Taidia El Carzonu,Bar-Cafeteria
Mogan,Sarito,Bar-Cafeteria
San Bartolome De Tirajana,Saloon,Bar-Cafeteria
San Bartolome De Tirajana,Saloon,Bar-Cafeteria
Las Palmas De Gran Canaria,La Terminal Bar,Bar-Cafeteria
Santa Lucia De Tirajana,Meson Del Bocadillo,Bar-Cafeteria
San Bartolome De Tirajana,Bombay Lounge Bar,Bar-Cafeteria
Ingenio,Gando Bar,Bar-Cafeteria
San Bartolome De Tirajana,"Cocina De Hande, La",Bar-Cafeteria
Santa Brigida,Cafe Galeria La Tierra,Bar-Cafeteria
Mogan,Piscina Tamanaco,Bar-Cafeteria
Ingenio,Esquinita Iberica,Bar-Cafeteria
Mogan,La Brasserie By Gran Amadores,Bar-Cafeteria
Aguimes,Paradisus Cafe Y Mas,Bar-Cafeteria
Telde,Pepe Chiringo,Bar-Cafeteria
Aguimes,Disa Autopista,Bar-Cafeteria
Santa Lucia De Tirajana,Imperio De Las Tartas,Bar-Cafeteria
Ingenio,Killarney Grill & Bar,Bar-Cafeteria
Santa Lucia De Tirajana,Sofrito,Bar-Cafeteria
Mogan,Harbour Lights,Bar-Cafeteria
Las Palmas De Gran Canaria,Bicos Bistró,Bar-Cafeteria
San Bartolome De Tirajana,Canary Lounge,Bar-Cafeteria
Aguimes,Bambino De Arinaga,Bar-Cafeteria
San Bartolome De Tirajana,"Perla, La",Bar-Cafeteria
Santa Lucia De Tirajana,El Parche,Bar-Cafeteria
San Bartolome De Tirajana,Mono Sisha Bar,Bar-Cafeteria
Ingenio,"Cumbrero, El",Bar-Cafeteria
Las Palmas De Gran Canaria,Manuela Jimena,Bar-Cafeteria
Santa Lucia De Tirajana,"Palmera, La",Bar-Cafeteria
Mogan,"Taberna Timanfaya, La",Bar-Cafeteria
Las Palmas De Gran Canaria,20 Paká,Bar-Cafeteria
San Bartolome De Tirajana,Serendipity,Bar-Cafeteria
San Bartolome De Tirajana,Posh,Bar-Cafeteria
Santa Brigida,Viñas Del Monte,Bar-Cafeteria
San Bartolome De Tirajana,Magic Metro,Bar-Cafeteria
Telde,Q'Damos,Bar-Cafeteria
Ingenio,Rockin' Genio,Bar-Cafeteria
San Bartolome De Tirajana,Aridañy,Bar-Cafeteria
Las Palmas De Gran Canaria,Navio,Bar-Cafeteria
Las Palmas De Gran Canaria,Garoe,Bar-Cafeteria
Las Palmas De Gran Canaria,Salon Drago,Bar-Cafeteria
Las Palmas De Gran Canaria,Roquenublo,Bar-Cafeteria
Las Palmas De Gran Canaria,Playa De Jandia,Bar-Cafeteria
Las Palmas De Gran Canaria, Altavista,Bar-Cafeteria
Mogan,Olas Locas,Bar-Cafeteria
San Bartolome De Tirajana,Manu + Michi´S Schwiizerbeiz ,Bar-Cafeteria
Las Palmas De Gran Canaria,La Villa Iii,Bar-Cafeteria
Las Palmas De Gran Canaria,"Otro Ca'Paco, El",Bar-Cafeteria
Telde,Psm Burger Telde,Bar-Cafeteria
San Bartolome De Tirajana,The Legend,Bar-Cafeteria
Las Palmas De Gran Canaria,Cafee Di-Dani,Bar-Cafeteria
Mogan,Tienda India - Wigwam,Bar-Cafeteria
Las Palmas De Gran Canaria,Sandwicheria Pizco,Bar-Cafeteria
Las Palmas De Gran Canaria,El Mono Curioso,Bar-Cafeteria
Santa Lucia De Tirajana,Pizquito,Bar-Cafeteria
Las Palmas De Gran Canaria,Triciclo Bar,Bar-Cafeteria
Las Palmas De Gran Canaria,Piscolabis El Parque,Bar-Cafeteria
Telde,Que Guay,Bar-Cafeteria
San Bartolome De Tirajana,Pastelería-Cafetería San Francisco Ii,Bar-Cafeteria
San Bartolome De Tirajana,Kiki,Bar-Cafeteria
Santa Lucia De Tirajana,Gran Vía,Bar-Cafeteria
Telde,Lr22 Bar Cafetería,Bar-Cafeteria
Santa Lucia De Tirajana,Pollo King,Bar-Cafeteria
San Bartolome De Tirajana,Huracán,Bar-Cafeteria
Telde,Churreria Imperial,Bar-Cafeteria
Las Palmas De Gran Canaria,Origen Food &Amp; Cocktail Lounge,Bar-Cafeteria
Las Palmas De Gran Canaria,Tasca La Picadita,Bar-Cafeteria
San Bartolome De Tirajana,Taste Cay Beach Meloneras,Bar-Cafeteria
San Bartolome De Tirajana,Club Vista Verde,Bar-Cafeteria
Las Palmas De Gran Canaria,La Cocina Abierta,Bar-Cafeteria
Las Palmas De Gran Canaria,"Majorera, La",Bar-Cafeteria
Las Palmas De Gran Canaria,Machango Cafe Bar,Bar-Cafeteria
Las Palmas De Gran Canaria,"Flower, La",Bar-Cafeteria
San Bartolome De Tirajana,British,Bar-Cafeteria
Las Palmas De Gran Canaria,Pizzeria Kesito,Bar-Cafeteria
Mogan,Waypoint,Bar-Cafeteria
Las Palmas De Gran Canaria,Brasserie Jean From Paris,Bar-Cafeteria
Mogan,Montecarlo,Bar-Cafeteria
Arucas,Pub El Metro,Bar-Cafeteria
Las Palmas De Gran Canaria,Naturalis,Bar-Cafeteria
San Bartolome De Tirajana,Bar Los Elefantes,Bar-Cafeteria
San Bartolome De Tirajana,Racing Kart Maspalomas,Bar-Cafeteria
Las Palmas De Gran Canaria,Quebeque,Bar-Cafeteria
Telde,Casa Chano,Bar-Cafeteria
San Bartolome De Tirajana,Cafe Ca'Conchita,Bar-Cafeteria
San Bartolome De Tirajana,"Lima, La (The Lime)",Bar-Cafeteria
Ingenio,Pal Ingenio,Bar-Cafeteria
Las Palmas De Gran Canaria,"Arenales, Los",Bar-Cafeteria
Telde,Café Burger El Rincón De Hayley,Bar-Cafeteria
Aguimes,"Esquina, La",Bar-Cafeteria
Aguimes,Sanchez,Bar-Cafeteria
Santa Lucia De Tirajana,Cafe Union Deportiva Union Balos,Bar-Cafeteria
San Bartolome De Tirajana,Terraza Boulevard,Bar-Cafeteria
Las Palmas De Gran Canaria,The Room,Bar-Cafeteria
Telde,Monthy,Bar-Cafeteria
Las Palmas De Gran Canaria,"Taberna De Arranz, La",Bar-Cafeteria
Moya,Pepe Chiringo,Bar-Cafeteria
San Bartolome De Tirajana,Heike'S,Bar-Cafeteria
Telde,"600, El",Bar-Cafeteria
Telde,Taberna Raices,Bar-Cafeteria
Telde,O'Learys,Bar-Cafeteria
San Bartolome De Tirajana,Buenavista,Bar-Cafeteria
Las Palmas De Gran Canaria,Primer Express,Bar-Cafeteria
San Bartolome De Tirajana,Golden Sand,Bar-Cafeteria
San Bartolome De Tirajana,Adk Döner Kebab,Bar-Cafeteria
Las Palmas De Gran Canaria,Cafes De Carla,Bar-Cafeteria
Las Palmas De Gran Canaria,La Veintiuno,Bar-Cafeteria
Las Palmas De Gran Canaria,Casa Del Helado,Bar-Cafeteria
San Bartolome De Tirajana,Adrenaline,Bar-Cafeteria
Las Palmas De Gran Canaria,Gelizia,Bar-Cafeteria
San Bartolome De Tirajana,Stockholms,Bar-Cafeteria
Teror,Made In Teror,Bar-Cafeteria
San Bartolome De Tirajana,Ruta 69,Bar-Cafeteria
Las Palmas De Gran Canaria,Chile,Bar-Cafeteria
San Bartolome De Tirajana,"Almendros, Los",Bar-Cafeteria
Mogan,Bambus Bar,Bar-Cafeteria
Mogan,Pinito,Bar-Cafeteria
Telde,Pizpireta Cafe,Bar-Cafeteria
San Bartolome De Tirajana,Piz-Paz,Bar-Cafeteria
Santa Lucia De Tirajana,Club 3ª Edad,Bar-Cafeteria
Las Palmas De Gran Canaria,Musa Las Palmas,Bar-Cafeteria
Mogan,Club De Petanca Arguineguin,Bar-Cafeteria
Las Palmas De Gran Canaria,Guarapo,Bar-Cafeteria
San Bartolome De Tirajana,Café Carlo By Iceguys,Bar-Cafeteria
Galdar,Rony,Bar-Cafeteria
Las Palmas De Gran Canaria,Fermento,Bar-Cafeteria
Santa Lucia De Tirajana,Cuba - Canarias,Bar-Cafeteria
Las Palmas De Gran Canaria,Casa Carmelo,Bar-Cafeteria
San Bartolome De Tirajana,Atico 88,Bar-Cafeteria
San Bartolome De Tirajana,Molly Malones,Bar-Cafeteria
Santa Lucia De Tirajana,Pura Sangre,Bar-Cafeteria
Las Palmas De Gran Canaria,El Gruñón,Bar-Cafeteria
Telde,"Ramblas Chicos De Paco, Las",Bar-Cafeteria
Las Palmas De Gran Canaria,Aqui Al Lado,Bar-Cafeteria
Las Palmas De Gran Canaria,Rincón Del Bolero,Bar-Cafeteria
San Bartolome De Tirajana,Burger King,Bar-Cafeteria
Las Palmas De Gran Canaria,Al-Andalus,Bar-Cafeteria
Las Palmas De Gran Canaria,"Palike, El",Bar-Cafeteria
Las Palmas De Gran Canaria,"Argentino, El",Bar-Cafeteria
Las Palmas De Gran Canaria,Alcaravaneras,Bar-Cafeteria
Santa Lucia De Tirajana,Black Ball,Bar-Cafeteria
San Bartolome De Tirajana,Voulez Vous Yumbo,Bar-Cafeteria
Las Palmas De Gran Canaria,Sotavento Club,Bar-Cafeteria
Telde,Oasis Chillout,Bar-Cafeteria
San Bartolome De Tirajana,Pepe Chiringo Ciudad Deportiva De Maspalomas,Bar-Cafeteria
Telde,Agaly,Bar-Cafeteria
Santa Lucia De Tirajana,Romaysa,Bar-Cafeteria
Las Palmas De Gran Canaria,Chus,Bar-Cafeteria
Las Palmas De Gran Canaria,Torres,Bar-Cafeteria
Telde,Dulceria El Cruce,Bar-Cafeteria
Las Palmas De Gran Canaria,La Venta De Souza,Bar-Cafeteria
Las Palmas De Gran Canaria,Habana,Bar-Cafeteria
San Bartolome De Tirajana,Schnitzil König,Bar-Cafeteria
Las Palmas De Gran Canaria,"Torres, Las",Bar-Cafeteria
San Bartolome De Tirajana,Piccere',Bar-Cafeteria
San Bartolome De Tirajana,Capuccino-House,Bar-Cafeteria
Las Palmas De Gran Canaria,Nömada,Bar-Cafeteria
Las Palmas De Gran Canaria,Caffe-Caffe,Bar-Cafeteria
Valsequillo De Gran Canaria,El Chipi,Bar-Cafeteria
Galdar,"Piscolabis, El",Bar-Cafeteria
Las Palmas De Gran Canaria,D'Vainilla,Bar-Cafeteria
Mogan,Texas Saloon Ponderosa,Bar-Cafeteria
Las Palmas De Gran Canaria,442 Cafeteria,Bar-Cafeteria
Las Palmas De Gran Canaria,Nasdaq,Bar-Cafeteria
San Bartolome De Tirajana,La Cucaracha,Bar-Cafeteria
San Bartolome De Tirajana,Dorotea,Bar-Cafeteria
Firgas,Dulceria El Molino,Bar-Cafeteria
Las Palmas De Gran Canaria,Montañas De Fuego,Bar-Cafeteria
Las Palmas De Gran Canaria,Playas De Papagayo,Bar-Cafeteria
San Bartolome De Tirajana,Angies Corner Bar &Amp; Bistro,Bar-Cafeteria
Telde,Hamburgueseria El Cacho De Caserones,Bar-Cafeteria
San Bartolome De Tirajana,Barra Casino,Bar-Cafeteria
San Bartolome De Tirajana,Sala Maquinas,Bar-Cafeteria
Las Palmas De Gran Canaria,Cerveceria El Montaito,Bar-Cafeteria
Las Palmas De Gran Canaria,Balbina,Bar-Cafeteria
Santa Lucia De Tirajana,Pizza Palawan,Bar-Cafeteria
Las Palmas De Gran Canaria,La Buona Pizza,Bar-Cafeteria
San Bartolome De Tirajana,Piscina Los Girasoles,Bar-Cafeteria
Santa Lucia De Tirajana,Disco Kalally,Bar-Cafeteria
Ingenio,The Best Amberly,Bar-Cafeteria
Las Palmas De Gran Canaria,Granier Panes Artesanos,Bar-Cafeteria
Las Palmas De Gran Canaria,Rinconcito Charrúa,Bar-Cafeteria
San Bartolome De Tirajana,"Rincon De Kölsches, El (Kölsches Eck)",Bar-Cafeteria
Santa Lucia De Tirajana,Karaoke La Guinda,Bar-Cafeteria
Las Palmas De Gran Canaria,K' Dog,Bar-Cafeteria
Las Palmas De Gran Canaria,Costumbres Argentinas,Bar-Cafeteria
Las Palmas De Gran Canaria,La Oficina Casual Food,Bar-Cafeteria
San Bartolome De Tirajana,Sukaina,Bar-Cafeteria
San Bartolome De Tirajana,"Azotea, La",Bar-Cafeteria
Telde,"Liebre, La",Bar-Cafeteria
Telde,Abbasid Doner Kebab Jinamar,Bar-Cafeteria
Ingenio,Taberna La Candelaria,Bar-Cafeteria
Las Palmas De Gran Canaria,Padrón,Bar-Cafeteria
Santa Lucia De Tirajana,Taberna El Refugio,Bar-Cafeteria
Las Palmas De Gran Canaria,Peach,Bar-Cafeteria
Santa Lucia De Tirajana,Velázquez,Bar-Cafeteria
Arucas,Piscodulce,Bar-Cafeteria
San Bartolome De Tirajana,Buddies,Bar-Cafeteria
Teror,Pis-Pi,Bar-Cafeteria
Las Palmas De Gran Canaria,Natural Burguer,Bar-Cafeteria
Las Palmas De Gran Canaria,La Rebanada Ii,Bar-Cafeteria
Santa Lucia De Tirajana,"Canaria, La",Bar-Cafeteria
San Bartolome De Tirajana,Best Burger,Bar-Cafeteria
Santa Lucia De Tirajana,Santiago,Bar-Cafeteria
Mogan,Piporro,Bar-Cafeteria
Telde,Coffee Telde,Bar-Cafeteria
Las Palmas De Gran Canaria,Ca'Celia,Bar-Cafeteria
Las Palmas De Gran Canaria,"Ca,Palle",Bar-Cafeteria
Ingenio,Cafe Bar El Muellito,Bar-Cafeteria
Las Palmas De Gran Canaria,Antojitos,Bar-Cafeteria
Las Palmas De Gran Canaria,4 Esquinas,Bar-Cafeteria
Mogan,Angelo,Bar-Cafeteria
Santa Maria De Guia De Gran Canaria,"Piedra, La",Bar-Cafeteria
Santa Brigida,Entremeses Tapas Bar,Bar-Cafeteria
Las Palmas De Gran Canaria,La Sonrisa De La Mañana,Bar-Cafeteria
Mogan,"Bish, Bash, Bosh",Bar-Cafeteria
Las Palmas De Gran Canaria,Fam27,Bar-Cafeteria
