fid,etiqueta,granularidad,cod_tipocat,cod_tipo,nom_tipo,cod_categor,nom_categor,gcd_isla,nom_isla,gcd_entitur,nom_entitur,gcd_nucltur,nom_nucltur,gcd_municipio,nom_municipio,direccion,num_habitaciones,num_plazas,longitud,latitud,geohash,utm_x,utm_y
406,HOTEL LAS PALMAS URBAN CENTER,ALOJAMIENTOS,H2,5510_L1,Hotel,2,2 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"C/ VALENCIA, 4",17,47,-15.432158,28.129673,etj00bfehx,457559.88,3111642.51
407,HOTEL WAVIA,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE PAJONALES, Nş 19",9,18,-15.431967,28.149251,etj00u6v30,457586.35,3113811.28
408,HOTEL BOUTIQUE CASA MOZART,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B9,Entidad no turística de Gran Canaria,ES705B90,Núcleo no turístico de Gran Canaria,35016,Las Palmas de Gran Canaria,"C/ MOZART, Nş 2",5,10,-15.434199,28.127971,etj00b91m1,457358.77,3111454.68
409,DESIGN PLUS BEX HOTEL,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"C/ LEÓN Y CASTILLO, Nş 330",97,194,-15.43053,28.13897,etj00fec6s,457723.41,3112671.86
410,HOTEL VEINTIUNO,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B9,Entidad no turística de Gran Canaria,ES705B90,Núcleo no turístico de Gran Canaria,35016,Las Palmas de Gran Canaria,"CALLE ESPÍRITU SANTO, 21",17,34,-15.41391,28.10052,esvpc5xcmu,459340.95,3108406.74
411,MARESIA CANTERAS URBAN HOTEL,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"C/ LEON TOLSTOI, 1",24,48,-15.43681,28.13642,etj00dp682,457105.72,3112391.57
412,HOTEL SILKEN SAAJ LAS PALMAS,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"CALLE LEÓN Y CASTILLO, 329",64,132,-15.43012,28.13121,etj00chhhj,457760.63,3111812.07
413,HOTEL BOUTIQUE THE CATHEDRAL,ALOJAMIENTOS,H2,5510_L1,Hotel,2,2 Estrellas,ES705,Gran Canaria,ES705B9,Entidad no turística de Gran Canaria,ES705B90,Núcleo no turístico de Gran Canaria,35016,Las Palmas de Gran Canaria,"C/ ESPÍRITU SANTO, 6",4,8,-15.413003,28.100828,esvpc78e4y,459430.17,3108440.56
414,OCCIDENTAL LAS PALMAS,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B9,Entidad no turística de Gran Canaria,ES705B90,Núcleo no turístico de Gran Canaria,35016,Las Palmas de Gran Canaria,"C/ LEÓN Y CASTILLO, 244",70,167,-15.426091,28.121086,esvpbzr14n,458152.37,3110689.15
415,HOTEL SERCOTEL PUERTO DE LA LUZ,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B2,Las Canteras,ES705B20,Las Canteras,35016,Las Palmas de Gran Canaria,"C/ JUAN REJÓN, 42",59,118,-15.426878,28.148942,etj00uq7rx,458085.91,3113775.28
421,HOTEL COSTA CANARIA & SPA.,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B43,San Agustín,35019,San Bartolomé de Tirajana,"CALLE LAS RETAMAS, 1",254,524,-15.541481,27.771383,esuvyreh11,446647.83,3071995.18
422,HOTEL NEW FOLIAS,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B43,San Agustín,35019,San Bartolomé de Tirajana,"CALLE LAS RETAMAS, 17",112,244,-15.545515,27.769172,esuvyr0p5h,446249.27,3071752.02
423,HOTEL LUCANA,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"PLAZA DEL SOL, S/N",182,350,-15.560052,27.764406,esuvvyme2s,444814.48,3071230.51
424,SEASIDE PALM BEACH,ALOJAMIENTOS,H5,5510_L1,Hotel,5,5 Estrellas,ES705,Gran Canaria,ES705B3,Maspalomas,ES705B31,Meloneras,35019,San Bartolomé de Tirajana,"AVENIDA OASIS, S/N",328,636,-15.595318,27.737203,esuvv17ufv,441324.84,3068233.43
425,HOTEL EUGENIA VICTORIA,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA GRAN CANARIA, 26",429,1200,-15.574118,27.764491,esuvvw77bs,443428.48,3071246.31
426,HOTEL ABORA CATARINA,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA TIRAJANA, 1",410,850,-15.577117,27.748874,esuvve90fv,443124.85,3069517.73
427,HOTEL PLAYA DE ARINAGA,ALOJAMIENTOS,H1,5510_L1,Hotel,1,1 Estrella,ES705,Gran Canaria,ES705B9,Entidad no turística de Gran Canaria,ES705B90,Núcleo no turístico de Gran Canaria,35002,Agüimes,"AVENIDA POLIZÓN, 55",4,8,-15.395678,27.857301,esvn3xm0w9,461044.64,3081457.89
429,HOTEL IFA CONTINENTAL,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA ITALIA, 2",404,808,-15.561061,27.764691,esuvvykv0c,444715.19,3071262.53
430,HOTEL RONDO,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA DE TIRAJANA, 38",103,209,-15.578495,27.761931,esuvvtbhfz,442995.84,3070964.75
431,HOTEL PRINCIPADO,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA BONN, 14",119,373,-15.572777,27.755428,esuvvssppf,443555.95,3070241.75
432,HOTEL RIU PALACE PALMERAS,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA ESTADOS UNIDOS, 1",288,650,-15.571457,27.756042,esuvvsv4wv,443686.34,3070309.16
433,HOTEL ANAMAR SUITES,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA ESTADOS UNIDOS, 38",127,254,-15.57216,27.757323,esuvvthdnk,443617.72,3070451.38
434,HOTEL CORALLIUM BEACH BY LOPESAN HOTELS,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B43,San Agustín,35019,San Bartolomé de Tirajana,"CALLE LOS JAZMINES, 25",210,422,-15.540504,27.771896,esuvyrez00,446744.35,3072051.59
435,H. A. SUNPRIME ATLANTIC VIEW SUITE & SPA,ALOJAMIENTOS,H2,5510_L1,Hotel,2,2 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA GRAN CANARIA, 48",250,504,-15.583967,27.762839,esuvvqh470,442457.11,3071067.88
436,HOTEL CLUBHOTEL RIU PAPAYAS,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA GRAN CANARIA, 22",468,936,-15.572251,27.764482,esuvvwkeu6,443612.45,3071244.46
437,HOTEL APART. GREEN FIELD,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"CALLE TENERIFE, 6",324,764,-15.565825,27.763523,esuvvy1q1z,444245.16,3071135.3
438,HOTEL RIU PALACE MASPALOMAS,ALOJAMIENTOS,H5,5510_L1,Hotel,5,5 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA TIRAJANA, S/N",376,760,-15.576671,27.74686,esuvve1mjm,443167.76,3069294.43
440,HOTEL NEPTUNO,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA ALFERECES PROVISIONALES,29",171,342,-15.576425,27.759374,esuvvt3w4f,443198.5,3070680.54
441,HOTEL DUNAS DON GREGORY,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B42,El Beril - Las Burras,35019,San Bartolomé de Tirajana,"CALLE LAS DALIAS, 11",241,454,-15.55001,27.767876,esuvynuzde,445805.72,3071610.43
442,HOTEL REY CARLOS,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA TIRAJANA, 14",160,320,-15.576883,27.751935,esuvvs168r,443149.5,3069856.71
443,HOTEL BARCELÓ MARGARITAS,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA GRAN CANARIA, 40",489,978,-15.580459,27.76263,esuvvqn9hc,442802.68,3071043.1
444,HOTEL SERVATUR DON MIGUEL,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA TIRAJANA, 30",286,500,-15.578828,27.760181,esuvvmxffb,442962.12,3070771.05
445,HOTEL ESCORIAL,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA DE ITALIA, 6",250,558,-15.562831,27.764054,esuvvy73rf,444540.46,3071192.76
446,HOTEL ABORA BUENAVENTURA BY LOPESAN HOTELS,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"PLAZA DE ANSITE, 1",724,1448,-15.56826,27.763864,esuvvwr81p,444005.4,3071174.18
447,HOTEL ABORA INTERCLUB BY LOPESAN HOTELS,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B43,San Agustín,35019,San Bartolomé de Tirajana,"CALLE LOS JAZMINES, 2",395,1347,-15.534518,27.771241,esuvyx855q,447333.84,3071976.45
448,HOTEL EL CASERIO,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA ITALIA, 8",170,340,-15.563899,27.762787,esuvvy49yy,444434.58,3071052.9
449,CORALLIUM DUNAMAR BY LOPESAN HOTELS,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"CALLE HELSINKI, 8",273,546,-15.568264,27.757092,esuvvtp8c0,444001.54,3070424.02
451,HOTEL FARO LOPESAN COLLECTION HOTEL,ALOJAMIENTOS,H5,5510_L1,Hotel,5,5 Estrellas,ES705,Gran Canaria,ES705B3,Maspalomas,ES705B31,Meloneras,35019,San Bartolomé de Tirajana,"PLAZA DE COLON, 1",182,364,-15.598075,27.735674,esuvv11u48,441052.28,3068065.37
452,HOTEL BOHEMIA SUITES SPA,ALOJAMIENTOS,H5,5510_L1,Hotel,5,5 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA ESTADOS UNIDOS, 28",80,160,-15.570251,27.756302,esuvvsyh4v,443805.32,3070337.41
453,HOTEL RELAXIA BEVERLY PARK,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"CALLE HAMBURGO, 10",481,1007,-15.558636,27.76386,esuvvyq81w,444953.73,3071169.39
454,HOTEL RIU PALACE OASIS,ALOJAMIENTOS,H5,5510_L1,Hotel,5,5 Estrellas,ES705,Gran Canaria,ES705B3,Maspalomas,ES705B31,Meloneras,35019,San Bartolomé de Tirajana,"PLAZA LAS PALMERAS, S/N",415,830,-15.597337,27.736699,esuvv163gx,441125.57,3068178.56
455,HOTEL HL SUITEHOTEL PLAYA DEL INGLES,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA DE ITALIA, 21",189,460,-15.567284,27.759431,esuvvv2nru,444099.31,3070682.67
456,HOTEL PARQUE TROPICAL,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA ITALIA, 1",234,445,-15.561318,27.763874,esuvvyk871,444689.46,3071172.14
457,HOTEL GRAN CANARIA PRINCESS,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA DE GRAN CANARIA, 18",431,827,-15.570527,27.763654,esuvvwjzh2,443781.9,3071151.95
458,HOTEL SANDY BEACH,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA DE LOS MENCEYES, 1",256,486,-15.570678,27.757879,esuvvtjv2g,443764.05,3070512.3
459,GLORIA PALACE SAN AGUSTIN THALASSO & HOTEL,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B43,San Agustín,35019,San Bartolomé de Tirajana,"CALLE LAS MARGARITAS, S/N",448,896,-15.547049,27.772718,esuvypygz9,446099.86,3072145.5
460,HOTEL SERVATUR WAIKIKI,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA DE GRAN CANARIA, 20",511,1022,-15.571452,27.763158,esuvvwjhng,443690.5,3071097.43
462,HOTEL DUNAS SUITE & VILLAS RESORT,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA TOUR OPERADOR SUNAIR, S/N.",302,692,-15.580984,27.755011,esuvvkwk8v,442746.96,3070199.35
463,HOTEL RIU PALACE MELONERAS,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B3,Maspalomas,ES705B31,Meloneras,35019,San Bartolomé de Tirajana,AVENIDA DEL MEDITERRÁNEO S/N,515,1030,-15.602785,27.739843,esuvucykkc,440590.3,3068529.46
464,HOTEL MIRADOR MASPALOMAS BY DUNAS,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B3,Maspalomas,ES705B32,Sonnenland,35019,San Bartolomé de Tirajana,CALLE EINSTEIN. SONNELAND,437,1250,-15.601037,27.764282,esuvuyrdtm,440775.81,3071235.83
465,HOTEL MASPALOMAS-TABAIBA PRINCESS,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B3,Maspalomas,ES705B33,Campo Internacional,35019,San Bartolomé de Tirajana,"AVENIDA TOUROPERADOR TUI, S/N. CAMPO INTERNACIONAL",800,1600,-15.597206,27.752301,esuvvh4kyg,441146.87,3069906.8
466,GRAND HOTEL RESIDENCIA,ALOJAMIENTOS,H5,5510_L1,Hotel,5,5 Estrellas,ES705,Gran Canaria,ES705B3,Maspalomas,ES705B31,Meloneras,35019,San Bartolomé de Tirajana,"AVENIDA DEL OASIS, 32",94,186,-15.597067,27.739492,esuvv1fd3b,441153.68,3068487.83
467,HOTEL LOPESAN COSTA MELONERAS,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B3,Maspalomas,ES705B31,Meloneras,35019,San Bartolomé de Tirajana,CALLE MEDITERRANEO S/N,1136,2117,-15.600125,27.737792,esuvv1826e,440851.37,3068300.98
468,PENSION ALVAREZ,ALOJAMIENTOS,H1,5510_L1,Hotel,1,1 Estrella,ES705,Gran Canaria,ES705B9,Entidad no turística de Gran Canaria,ES705B90,Núcleo no turístico de Gran Canaria,35019,San Bartolomé de Tirajana,"AVENIDA DE LAS AMÉRICAS, 29",15,22,-15.603897,27.770748,esuvuzt86f,440497.51,3071953.49
469,GRAN HOTEL VILLA DEL CONDE,ALOJAMIENTOS,H5,5510_L1,Hotel,5,5 Estrellas,ES705,Gran Canaria,ES705B3,Maspalomas,ES705B31,Meloneras,35019,San Bartolomé de Tirajana,"CALLE MAR MEDITERRÁNEO , 7",561,1500,-15.605621,27.742651,esuvufkkds,440312.32,3068841.88
470,HOTEL BLUEBAY BEACH CLUB,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B44,Bahía Feliz - Playa del Águila,35019,San Bartolomé de Tirajana,"PASEO PABLO PICASSO, S/N",158,404,-15.514092,27.782978,esuyncwzx6,449351.88,3073268.03
471,HOTEL RIU GRAN CANARIA,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B3,Maspalomas,ES705B31,Meloneras,35019,San Bartolomé de Tirajana,URBANIZACIÓN LAS MELONERAS S/N,639,1235,-15.604513,27.741002,esuvufj5h3,440420.62,3068658.68
473,SALOBRE HOTEL RESORT & SERENITY,ALOJAMIENTOS,H5,5510_L1,Hotel,5,5 Estrellas,ES705,Gran Canaria,ES705B9,Entidad no turística de Gran Canaria,ES705B90,Núcleo no turístico de Gran Canaria,35019,San Bartolomé de Tirajana,URBANIZACIÓN SALOBRE GOLF S/N,313,682,-15.64994,27.781821,esuy5cs0cf,435967.23,3073203.23
474,HOTEL SAN AGUSTIN BEACH CLUB,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B42,El Beril - Las Burras,35019,San Bartolomé de Tirajana,PLAZA DE LOS COCOTEROS 2,65,149,-15.544363,27.767336,esuvyqbuqn,446361.88,3071548.13
475,HOTEL SAHARA PLAYA I & II,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,CALLE ALFERECES PROVISIONALES 1,56,212,-15.569126,27.755928,esuvvsycvp,443915.99,3070295.47
476,HOTEL PALM OASIS,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B3,Maspalomas,ES705B32,Sonnenland,35019,San Bartolomé de Tirajana,CALLE EINSTEIN S/N - PARCELA 34,234,800,-15.599605,27.765346,esuvvn88yg,440917.49,3071353.01
477,HOTEL H10 PLAYA MELONERAS PALACE,ALOJAMIENTOS,H5,5510_L1,Hotel,5,5 Estrellas,ES705,Gran Canaria,ES705B3,Maspalomas,ES705B31,Meloneras,35019,San Bartolomé de Tirajana,"CALLE MAR CASPIO, 5",379,750,-15.610628,27.746623,esuvug0ey1,439821.02,3069284.32
478,APARTAMENTOS LAS GONDOLAS,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,AVENIDA ALFERECES PROVISIONALES 7,39,117,-15.569664,27.756471,esuvvsyt0t,443863.26,3070355.86
479,MONTE FELIZ,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B44,Bahía Feliz - Playa del Águila,35019,San Bartolomé de Tirajana,"CALLE PASEO PABLO PICASO, S/N",200,528,-15.515147,27.783814,esuyncyhqy,449248.33,3073361.07
480,HOTEL BIRDCAGE RESORT,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"CALLE EGIPTO, 10",7,14,-15.574365,27.761292,esuvvtg14z,443402.49,3070892.06
481,HOTEL LOPESAN BAOBAB RESORT,ALOJAMIENTOS,H5,5510_L1,Hotel,5,5 Estrellas,ES705,Gran Canaria,ES705B3,Maspalomas,ES705B31,Meloneras,35019,San Bartolomé de Tirajana,"CALLE MAR ADRIATICO, 1",677,1356,-15.599831,27.740323,esuvv1bx1e,440881.71,3068581.21
482,APARTAMENTOS COSTA RICA,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"CALLE ROMA, 16",24,48,-15.572358,27.752044,esuvvshe3g,443595.49,3069866.7
483,HOTEL HACIENDA DE ANZO - STIKO SANALI,ALOJAMIENTOS,H3,5510_L1,Hotel,3,3 Estrellas,ES705,Gran Canaria,ES705B9,Entidad no turística de Gran Canaria,ES705B90,Núcleo no turístico de Gran Canaria,35009,Galdar,"CALLE PROLONGACION PABLO DÍAZ, 37 - VEGA DE ANZO",8,16,-15.642758,28.129243,ethbh0c29q,436877.23,3111686.35
484,SANTA MONICA SUITES HOTEL,ALOJAMIENTOS,H4,5510_L1,Hotel,4,4 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"PASEO COSTA CANARIA, 116",184,546,-15.572487,27.750867,esuvveukwb,443582.17,3069736.37
485,APARTAMENTOS LOS ANGELES (P. INGLES),ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA MADRID, 13",10,20,-15.563217,27.761662,esuvvvg5qu,444501.21,3070927.97
486,APARTAMENTOS TENSUITES,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B3,Maspalomas,ES705B31,Meloneras,35019,San Bartolomé de Tirajana,"AVENIDA DEL OASIS, 27",10,20,-15.595372,27.73632,esuvv15zc2,441319.05,3068135.64
487,APARTAMENTOS HORIZONTE,ALOJAMIENTOS,A3,5510_L6,Apartamentos,3,3 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"CALLE LUNA, 3",15,30,-15.569419,27.755263,esuvvswwnh,443886.78,3070221.94
488,APARTAMENTOS LA CATALEYA,ALOJAMIENTOS,A3,5510_L6,Apartamentos,3,3 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B43,San Agustín,35019,San Bartolomé de Tirajana,"CALLE LOS GLADIOLOS, 3",8,16,-15.543138,27.769138,esuvyr1yfw,446483.47,3071747.22
489,APARTAMENTOS LAS ARENAS,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA DE ITALIA, 23",93,206,-15.568333,27.758925,esuvvtr7rw,443995.68,3070627.1
490,APARTAMENTOS SAN NICOLAS,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"AVENIDA DE MADRID, 35",15,32,-15.565867,27.759232,esuvvv3m1p,444238.84,3070659.98
491,APARTAMENTOS LAS TABAIBAS,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"CALLE LA LUNA, 9",13,26,-15.569989,27.754307,esuvvsw28c,443830.12,3070116.3
492,APARTAMENTOS CARIBES II,ALOJAMIENTOS,A2,5510_L6,Apartamentos,2,2 Estrellas,ES705,Gran Canaria,ES705B4,Playa del Inglés - San Agustín,ES705B41,Playa del Inglés,35019,San Bartolomé de Tirajana,"CALLE GRAN CANARIA, 4",15,30,-15.566431,27.759137,esuvvv2uey,444183.21,3070649.72
493,APARTAMENTOS CASA PALMAR,ALOJAMIENTOS,A1,5510_L6,Apartamentos,1,1 Estrella,ES705,Gran Canaria,ES705B3,Maspalomas,ES705B31,Meloneras,35019,San Bartolomé de Tirajana,"AVDA. DEL OASIS, Nş 10",2,6,-15.5948,27.737651,esuvv1kpwb,441376.14,3068282.81
